Time,Clean,LessNoisy,Noisy,LMSCleanLess,LMSCleanHeavy
0.494000,1.071654,1.221684,0.899839,1.161431,1.299503
0.496000,0.736249,1.001184,0.954638,0.948695,0.986871
0.498000,0.374763,0.785143,0.332619,0.727581,0.859135
0.500000,-0.000000,-0.297533,-0.632298,-0.099347,0.385529
0.502000,-0.374756,-0.467506,0.793479,-0.370592,-0.013954
0.504000,-0.736250,-0.932539,-0.702815,-0.796368,-0.464248
0.506000,-1.071654,-1.094693,-2.748691,-1.050070,-0.451609
0.508000,-1.369095,-1.313809,-2.582784,-1.355958,-0.345516
0.510000,-1.618035,-1.746578,-1.970822,-1.674366,-1.015044
0.512000,-1.809655,-1.561479,-1.161725,-1.622521,-1.469465
0.514000,-1.937167,-1.620399,-1.635402,-1.673861,-1.850116
0.516000,-1.996053,-1.692883,-1.464316,-1.767247,-2.319707
0.518000,-1.984229,-1.841373,-2.127523,-1.842579,-2.172536
0.520000,-1.902115,-1.840826,-1.216736,-1.826921,-2.389513
0.522000,-1.752612,-1.800427,-1.022504,-1.723441,-2.049266
0.524000,-1.541030,-1.265771,-1.367383,-1.330204,-2.209788
0.526000,-1.274846,-1.037209,-1.076080,-1.039269,-1.996809
0.528000,-0.963505,-1.038720,-2.163655,-0.917668,-1.575868
0.530000,-0.618039,-0.120030,-0.424783,-0.111745,-1.247238
0.532000,-0.250664,-0.587692,0.519262,-0.320220,-0.831695
0.534000,0.125576,0.250485,0.920893,0.297669,-0.701537
0.536000,0.497383,0.700766,0.211555,0.717815,-0.082418
0.538000,0.851555,0.174173,1.394132,0.421258,0.689523
0.540000,1.175573,0.848876,2.107120,0.887973,1.224237
0.542000,1.457934,1.297493,0.989988,1.211287,1.762500
0.544000,1.688658,1.969808,2.044284,1.741339,1.789430
0.546000,1.859554,1.424923,1.551396,1.417833,1.953363
0.548000,1.964574,2.623440,2.716039,2.295274,1.945465
0.550000,2.000000,2.578294,3.796775,2.426585,1.828630
0.552000,1.964575,2.311738,2.216244,2.253175,1.586443
0.554000,1.859551,1.637658,1.482833,1.794611,1.468732
0.556000,1.688658,1.773181,0.294756,1.842491,1.636759
0.558000,1.457934,1.008367,1.446546,1.325637,1.389043
0.560000,1.175573,1.055909,0.634982,1.158232,1.500681
0.562000,0.851561,0.830910,1.382031,0.953715,1.175131
0.564000,0.497375,0.832467,1.469414,0.824230,0.645056
0.566000,0.125583,0.613332,0.968285,0.582853,0.164713
0.568000,-0.250672,0.256661,0.311221,0.294773,-0.225075
0.570000,-0.618032,-1.107536,-0.016172,-0.815004,-0.825116
0.572000,-0.963512,-0.872375,-1.118084,-0.856528,-1.341820
0.574000,-1.274847,-0.320044,-2.251262,-0.658792,-1.435265
0.576000,-1.541026,-1.433517,0.165941,-1.377477,-2.139821
0.578000,-1.752613,-1.715526,-0.768420,-1.728431,-2.364500
0.580000,-1.902113,-1.964782,-0.669281,-1.821123,-2.564003
0.582000,-1.984230,-1.805003,-0.156163,-1.705371,-2.854861
0.584000,-1.996053,-1.879275,-3.079090,-1.733067,-2.919609
0.586000,-1.937165,-1.219418,-0.307856,-1.323710,-2.597808
0.588000,-1.809654,-2.153147,-2.020806,-1.772609,-1.964704
0.590000,-1.618039,-1.793258,-2.727804,-1.593768,-1.765053
0.592000,-1.369094,-0.924626,-1.554274,-1.008111,-1.190324
0.594000,-1.071654,-0.843545,-0.140547,-0.870003,-0.685724
0.596000,-0.736249,-0.565636,-0.642659,-0.518927,-0.204705
0.598000,-0.374763,-0.172835,-0.819152,-0.094518,0.249997
0.600000,0.000008,-0.139900,-0.549894,0.131894,0.528688
0.602000,0.374763,0.434488,-1.441191,0.532830,0.679314
0.604000,0.736243,-0.380739,1.242829,-0.049668,1.147996
0.606000,1.071654,0.928163,-0.114731,0.884881,1.505473
0.608000,1.369089,1.547701,2.159951,1.361860,1.629542
0.610000,1.618035,1.573304,0.216817,1.429197,1.647621
0.612000,1.809655,1.858507,2.275491,1.643983,1.816270
0.614000,1.937167,1.827709,0.883242,1.707368,1.705079
0.616000,1.996054,2.476025,1.734981,2.156358,1.623087
0.618000,1.984230,2.337887,0.161106,2.203880,1.162994
0.620000,1.902112,1.988221,3.303696,1.967921,1.280044
0.622000,1.752616,1.353832,0.690327,1.540397,1.056988
0.624000,1.541025,1.892431,2.029421,1.839936,0.905743
0.626000,1.274852,1.642461,1.145939,1.683818,0.767440
0.628000,0.963505,0.130426,0.511653,0.657353,0.331989
0.630000,0.618032,0.491277,2.751217,0.755804,0.501323
0.632000,0.250664,-0.121277,1.036990,0.148555,0.419992
0.634000,-0.125584,-0.160624,-0.028447,-0.075632,0.178645
0.636000,-0.497375,0.136320,-2.896021,-0.219557,-0.549953
0.638000,-0.851561,-0.531184,-1.052230,-0.714238,-1.212465
0.640000,-1.175567,-0.886053,0.058131,-0.955003,-1.431767
0.642000,-1.457940,-2.366452,-1.986318,-2.069071,-1.835242
0.644000,-1.688654,-1.612235,-2.550987,-1.805938,-2.091435
0.646000,-1.859554,-1.577055,-0.196284,-1.870947,-2.037848
0.648000,-1.964575,-2.116347,-1.680671,-2.179771,-2.002166
0.650000,-2.000000,-1.660693,-2.811985,-1.835886,-2.352657
0.652000,-1.964574,-2.510840,-1.552113,-2.251484,-2.226161
0.654000,-1.859554,-2.420424,-4.684964,-2.303037,-2.823343
0.656000,-1.688653,-1.569790,-2.914699,-1.788156,-2.790704
