Time,Clean,LessNoisy,Noisy,MMSELessNoisy,MMSENoisy
0.234000,-0.125580,0.065743,-1.597022,-0.469705,-0.757287
0.236000,-0.497379,-1.045905,0.864775,-0.517324,-1.326788
0.238000,-0.851561,-1.114774,-0.831602,-1.222110,-1.186449
0.240000,-1.175570,-0.971213,-1.654752,-1.438999,-1.639224
0.242000,-1.457937,-1.457502,-3.930855,-1.509146,-1.869200
0.244000,-1.688656,-0.784960,-0.743934,-1.664081,-2.641984
0.246000,-1.859553,-1.659747,-2.461430,-1.374308,-2.296764
0.248000,-1.964574,-2.083178,-1.684546,-1.707738,-2.531643
0.250000,-2.000000,-1.586971,-2.350816,-1.961961,-2.408406
0.252000,-1.964574,-2.228610,-2.917068,-1.713463,-2.561562
0.254000,-1.859553,-1.203915,-1.686445,-1.846226,-2.323247
0.256000,-1.688655,-1.423677,0.376193,-1.350684,-1.814106
0.258000,-1.457939,-1.515191,-1.971626,-1.364539,-1.013609
0.260000,-1.175573,-1.374872,-1.259073,-1.133295,-0.911220
0.262000,-0.851561,-0.628172,-0.333103,-1.170604,-0.788670
0.264000,-0.497379,-0.510153,-1.649881,-0.516595,-0.220798
0.266000,-0.125580,0.189844,-1.241825,-0.200219,-0.037702
0.268000,0.250668,0.296030,0.215451,0.225142,0.300016
0.270000,0.618036,0.665023,0.945569,0.514996,0.831132
0.272000,0.963509,1.081442,0.590796,0.920649,0.944087
0.274000,1.274847,1.710516,1.279009,1.183749,0.989634
0.276000,1.541025,1.331091,0.696422,1.766676,1.231840
0.278000,1.752613,2.197173,1.274350,1.624374,1.644845
0.280000,1.902113,2.019705,3.946285,1.998265,1.840284
0.282000,1.984230,1.993109,2.121864,2.060780,2.178686
0.284000,1.996053,2.135475,2.352868,1.968768,2.084810
0.286000,1.937166,3.002179,1.982716,1.863095,2.024432
0.288000,1.809654,2.123264,1.331965,2.298272,2.056440
0.290000,1.618034,0.881382,1.630650,1.889448,2.005310
0.292000,1.369095,1.726293,0.838513,0.903841,1.707786
0.294000,1.071654,0.963420,-0.401301,0.970880,1.356117
0.296000,0.736249,0.272590,0.759326,0.625707,0.833686
0.298000,0.374763,0.271717,1.315188,-0.102512,0.375100
0.300000,-0.000004,0.316796,-0.108047,-0.565260,-0.088961
0.302000,-0.374759,-0.154132,-1.444632,-0.462087,-0.444501
0.304000,-0.736246,-0.755839,-0.894934,-0.734675,-0.688461
0.306000,-1.071654,-0.756697,-0.772698,-1.328009,-1.092912
0.308000,-1.369095,-1.982290,-1.405227,-1.376611,-1.192335
0.310000,-1.618034,-1.444349,-1.338925,-2.060024,-1.545640
0.312000,-1.809655,-1.340859,-0.553568,-1.911325,-1.870010
0.314000,-1.937167,-2.271554,-2.334651,-1.787024,-1.525756
0.316000,-1.996054,-2.308371,-2.604805,-2.246861,-1.460013
